,,,,,,
设备ID,报文类型,报文说明,报文功能码,原始报文,数据采集时间,数据入库时间
1090330853,上行,链路维持报,2f,7e7e011090330853a0002f000802008426020208000003eaf2,2026-02-02 08:00:00,2026-02-02 08:00:00
1090330853,上行,链路维持报,2f,7e7e011090330853a0002f000802008426020207590003ed21,2026-02-02 07:59:00,2026-02-02 07:59:00
1090330853,上行,链路维持报,2f,7e7e011090330853a0002f0008020084260202075800032d70,2026-02-02 07:58:00,2026-02-02 07:58:00
1090330853,上行,链路维持报,2f,7e7e011090330853a0002f0008020084260202075700032e40,2026-02-02 07:57:00,2026-02-02 07:57:00
1090330853,上行,链路维持报,2f,7e7e011090330853a0002f000802008426020207560003ee11,2026-02-02 07:56:00,2026-02-02 07:56:00
1090330853,下行,定时报应答,32,7e7e109033085301a0003280080200832602020755211b65e7,,2026-02-02 07:55:22
1090330853,上行,遥测站定时报,32,7e7e011090330853a00032004d020083260202075521f1f1109033085350f0f026020207552219000000272b0000000000392300000163371b000000302b000004300020190000001f1900000026190000001a1900000038121138033380,2026-02-02 07:55:00,2026-02-02 07:55:22
1090330853,上行,链路维持报,2f,7e7e011090330853a0002f00080200832602020755000308a0,2026-02-02 07:55:00,2026-02-02 07:55:00
1090330853,上行,链路维持报,2f,7e7e011090330853a0002f000802008326020207540003c8f1,2026-02-02 07:54:00,2026-02-02 07:54:00
1090330853,上行,链路维持报,2f,7e7e011090330853a0002f0008020083260202075300030940,2026-02-02 07:53:00,2026-02-02 07:53:00
1090330853,上行,链路维持报,2f,7e7e011090330853a0002f000802008326020207520003c911,2026-02-02 07:52:00,2026-02-02 07:52:00
1090330853,上行,链路维持报,2f,7e7e011090330853a0002f000802008326020207510003c9e1,2026-02-02 07:51:00,2026-02-02 07:51:00
1090330853,下行,定时报应答,32,7e7e109033085301a0003280080200822602020750221b5836,,2026-02-02 07:50:23
1090330853,上行,遥测站定时报,32,7e7e011090330853a00032004d020082260202075021f1f1109033085350f0f026020207502219000000272b0000000000392300000164371b000000302b000004300020190000001f1900000026190000001a19000000381211350341ee,2026-02-02 07:50:00,2026-02-02 07:50:23
1090330853,上行,链路维持报,2f,7e7e011090330853a0002f000802008226020207500003c571,2026-02-02 07:50:00,2026-02-02 07:50:00
1090330853,上行,链路维持报,2f,7e7e011090330853a0002f00080200822602020749000302a0,2026-02-02 07:49:00,2026-02-02 07:49:00
1090330853,上行,链路维持报,2f,7e7e011090330853a0002f000802008226020207480003c2f1,2026-02-02 07:48:00,2026-02-02 07:48:00
1090330853,上行,链路维持报,2f,7e7e011090330853a0002f000802008226020207470003c1c1,2026-02-02 07:47:00,2026-02-02 07:47:00
1090330853,上行,链路维持报,2f,7e7e011090330853a0002f0008020082260202074600030190,2026-02-02 07:46:00,2026-02-02 07:46:00
1090330853,下行,定时报应答,32,7e7e109033085301a0003280080200812602020745231b1966,,2026-02-02 07:45:24
